Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50158,N.P,Banana Yoshimoto,"Yoshimoto, Banana",Ann Sherif,"=""0802142990""","=""9780802142993""",3,3.56,Grove Press,Paperback,208,2007,1990,2017/07/03,2017/07/03,,,read,,,,1,,,0,,,,,
29939057,Void Star,Zachary Mason,"Mason, Zachary",,"=""0374285063""","=""9780374285067""",2,3.74,"Farrar, Straus and Giroux",Hardcover,385,2017,2017,2017/07/01,2017/07/01,,,read,,,,1,,,0,,,,,
16247807,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"Brown, Dee",,"=""""","=""""",4,4.21,Open Road,Kindle Edition,481,2012,1970,2017/06/21,2017/06/24,,,read,,,,1,,,0,,,,,
9118135,State of Wonder,Ann Patchett,"Patchett, Ann",,"=""0062049801""","=""9780062049803""",5,3.85,HarperCollins Publishers,Hardcover,353,2011,2011,2017/06/16,2017/06/16,,,read,,,,1,,,0,,,,,
29999,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""0752865331""","=""9780752865331""",3,3.92,Orion,Paperback,213,2005,1930,2017/06/14,2017/06/14,,,read,,,,1,,,0,,,,,
33236412,Void Star,Zachary Mason,"Mason, Zachary",,"=""""","=""""",0,3.74,"Farrar, Straus and Giroux",Kindle Edition,400,2017,2017,2017/07/01,2017/06/12,,,read,,,,0,,,0,,,,,
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",5,4.17,Ballantine Books,Paperback,431,1997,1996,2017/06/03,2017/06/02,,,read,,,,0,,,0,,,,,
17264061,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,"White, T.H.",,"=""""","=""""",4,4.08,Ace,Kindle Edition,692,2011,1958,2017/05/15,2017/05/15,,,read,,,,1,,,0,,,,,
22007410,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.09,Diversion Books,Kindle Edition,194,2014,1971,2017/05/08,2017/05/08,,,read,,,,1,,,0,,,,,
12700353,Me and Earl and the Dying Girl,Jesse Andrews,"Andrews, Jesse",,"=""1419701762""","=""9781419701764""",4,3.58,Amulet Books,Hardcover,295,2012,2012,,2017/05/07,,,read,,,,1,,,0,,,,,
