"","BookId","Title","Genre"
"1",50158,"N.P","Fiction"
"2",29939057,"Void Star","Science Fiction"
"3",16247807,"Bury My Heart at Wounded Knee: An Indian History of the American West","History"
"4",9118135,"State of Wonder","Fiction"
"5",29999,"The Maltese Falcon","Mystery"
"6",33236412,"Void Star","Science Fiction"
"7",334176,"The Sparrow (The Sparrow, #1)","Science Fiction"
"8",17264061,"The Once and Future King (The Once and Future King, #1-4)","Classics"
"9",22007410,"The Lathe of Heaven","Science Fiction"
"10",12700353,"Me and Earl and the Dying Girl","Young Adult"
"11",5868297,"The Thirteenth Tale","Fiction"
"12",168642,"In Cold Blood","Nonfiction"
"13",5826,"Bel Canto","Fiction"
"14",25733990,"Sleeping Giants (Themis Files, #1)","Science Fiction"
"15",31028312,"The Big Sleep (Philip Marlowe, #1)","Mystery"
"16",28220871,"Wolf Moon (Luna, #2)","Science Fiction"
"17",1011632,"Mister B. Gone","Horror"
"18",26228034,"The Obelisk Gate (The Broken Earth, #2)","Fantasy"
"19",28220647,"Seven Surrenders (Terra Ignota, #2)","Science Fiction"
"20",19161852,"The Fifth Season (The Broken Earth, #1)","Fantasy"
"21",30045288,"A Conjuring of Light (Shades of Magic, #3)","Fantasy"
"22",25328846,"Arm of the Sphinx (The Books of Babel, #2)","Fantasy"
"23",18940614,"Senlin Ascends (The Books of Babel, #1)","Fantasy"
"24",23532981,"Railhead","Science Fiction"
"25",32065577,"His Bloody Project: Documents Relating to the Case of Roderick Macrae","Historical"
"26",1315112,"The Run to Chaos Keep (Quintara Marathon, #2)","Science Fiction"
"27",1305751,"The Ninety Trillion Fausts (Quintara Marathon, #3)","Science Fiction"
"28",23559647,"The Vagrant (The Vagrant, #1)","Fantasy"
"29",23168277,"The Sympathizer","Fiction"
"30",6285903,"Retribution Falls (Tales of the Ketty Jay, #1)","Science Fiction"
"31",9666139,"Space Captain Smith (Chronicles of Isambard Smith #1)","Science Fiction"
"32",6334,"Never Let Me Go","Fiction"
"33",29942174,"Livia Lone (Livia Lone #1)","Thriller"
"34",23444482,"The Traitor Baru Cormorant","Fantasy"
"35",26114135,"All the Ugly and Wonderful Things","Fiction"
"36",17912498,"The Queen of the Night","Historical"
"37",29008738,"The Bird and the Sword (The Bird and the Sword Chronicles, #1)","Fantasy"
"38",23208397,"Underground Airlines","Fiction"
"39",26795307,"Moonglow","Fiction"
"40",26892110,"The Library at Mount Char","Fantasy"
"41",25499718,"Children of Time","Science Fiction"
"42",17855756,"Dust (Silo, #3)","Science Fiction"
"43",17306293,"Shift (Silo, #2)","Science Fiction"
"44",25790952,"A Murder in Time (Kendra Donovan, #1)","Mystery"
"45",28962452,"Revenger","Science Fiction"
"46",13453029,"Wool Omnibus (Silo, #1)","Science Fiction"
"47",20727654,"The Paper Magician (The Paper Magician Trilogy, #1)","Fantasy"
"48",25648897,"Chains of Command (Frontlines, #4)","Science Fiction"
"49",5393773,"Broken Angels (Takeshi Kovacs, #2)","Science Fiction"
"50",12039893,"The Drawing of the Dark","Fantasy"
"51",61903,"Shards of Honour  (Vorkosigan Saga, #1)","Science Fiction"
"52",5978391,"Spin State (Spin Trilogy, #1)","Science Fiction"
"53",40445,"Altered Carbon (Takeshi Kovacs, #1)","Science Fiction"
"54",394535,"Blood Meridian, or the Evening Redness in the West","Fiction"
"55",29487750,"The Wonder","Historical"
"56",30244,"The Killing Dance (Anita Blake, Vampire Hunter, #6)","Fantasy"
"57",30241,"Bloody Bones (Anita Blake, Vampire Hunter #5)","Fantasy"
"58",30273,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)","Fantasy"
"59",30274,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)","Fantasy"
"60",15309,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)","Fantasy"
"61",181494,"Child of Flame (Crown of Stars, #4)","Fantasy"
"62",202087,"The Burning Stone (Crown of Stars, #3)","Fantasy"
"63",202061,"Prince of Dogs (Crown of Stars, #2)","Fantasy"
"64",19486421,"Skin Game (The Dresden Files, #15)","Fantasy"
"65",8058301,"Ghost Story (The Dresden Files,  #13)","Fantasy"
"66",12216302,"Cold Days (The Dresden Files, #14)","Fantasy"
"67",29396,"Furies of Calderon (Codex Alera, #1)","Fantasy"
"68",3475161,"Turn Coat (The Dresden Files, #11)","Fantasy"
"69",6585201,"Changes (The Dresden Files, #12)","Fantasy"
"70",927979,"Small Favor (The Dresden Files, #10)","Fantasy"
"71",91475,"White Night (The Dresden Files, #9)","Fantasy"
"72",91474,"Proven Guilty (The Dresden Files, #8)","Fantasy"
"73",99383,"Blood Rites (The Dresden Files, #6)","Fantasy"
"74",17683,"Dead Beat (The Dresden Files, #7)","Fantasy"
"75",91479,"Death Masks (The Dresden Files, #5)","Fantasy"
"76",91476,"Grave Peril (The Dresden Files, #3)","Fantasy"
"77",91478,"Summer Knight (The Dresden Files, #4)","Fantasy"
